AgencyID,AgencyName
2001,ADMIN FOR CHILDREN'S SVCS
2002,ADMIN TRIALS AND HEARINGS
2003,BOARD OF CORRECTION
2004,BOARD OF ELECTION
2005,BOARD OF ELECTION POLL WORKERS
2006,BOROUGH PRESIDENT-BRONX
2007,BOROUGH PRESIDENT-BROOKLYN
2008,BOROUGH PRESIDENT-QUEENS
2009,BOROUGH PRESIDENT-STATEN IS
2010,BRONX COMMUNITY BOARD #10
2011,BRONX COMMUNITY BOARD #11
2012,BRONX COMMUNITY BOARD #12
2013,BRONX COMMUNITY BOARD #2
2014,BRONX COMMUNITY BOARD #3
2015,BRONX COMMUNITY BOARD #4
2016,BRONX COMMUNITY BOARD #5
2017,BRONX COMMUNITY BOARD #6
2018,BRONX COMMUNITY BOARD #7
2019,BRONX COMMUNITY BOARD #8
2020,BRONX COMMUNITY BOARD #9
2021,BRONX DISTRICT ATTORNEY
2022,BROOKLYN COMMUNITY BOARD #1
2023,BROOKLYN COMMUNITY BOARD #10
2024,BROOKLYN COMMUNITY BOARD #11
2025,BROOKLYN COMMUNITY BOARD #12
2026,BROOKLYN COMMUNITY BOARD #13
2027,BROOKLYN COMMUNITY BOARD #14
2028,BROOKLYN COMMUNITY BOARD #15
2029,BROOKLYN COMMUNITY BOARD #16
2030,BROOKLYN COMMUNITY BOARD #17
2031,BROOKLYN COMMUNITY BOARD #18
2032,BROOKLYN COMMUNITY BOARD #2
2033,BROOKLYN COMMUNITY BOARD #3
2034,BROOKLYN COMMUNITY BOARD #4
2035,BROOKLYN COMMUNITY BOARD #5
2036,BROOKLYN COMMUNITY BOARD #6
2037,BROOKLYN COMMUNITY BOARD #7
2038,BROOKLYN COMMUNITY BOARD #8
2039,BROOKLYN COMMUNITY BOARD #9
2040,BUSINESS INTEGRITY COMMISSION
2041,CAMPAIGN FINANCE BOARD
2042,CITY CLERK
2043,CITY COUNCIL
2044,CIVIL SERVICE COMMISSION
2045,CIVILIAN COMPLAINT REVIEW BD
2046,COMMUNITY COLLEGE (BRONX)
2047,COMMUNITY COLLEGE (HOSTOS)
2048,COMMUNITY COLLEGE (KINGSBORO)
2049,COMMUNITY COLLEGE (LAGUARDIA)
2050,COMMUNITY COLLEGE (MANHATTAN)
2051,COMMUNITY COLLEGE (QUEENSBORO)
2052,CONFLICTS OF INTEREST BOARD
2053,CONSUMER AFFAIRS
2054,CULTURAL AFFAIRS
2055,CUNY CENTRAL OFFICE
2056,DEPARTMENT FOR THE AGING
2057,DEPARTMENT OF BUILDINGS
2058,DEPARTMENT OF BUSINESS SERV.
2059,DEPARTMENT OF CITY PLANNING
2060,DEPARTMENT OF CORRECTION
2061,DEPARTMENT OF EDUCATION ADMIN
2062,DEPARTMENT OF FINANCE
